2026-04-25 19:09:44.509 INFO inicioCombate pokemon = {“Alakazam”, 1, a, OK}, pokemonRival={“Charizard”, 50, pablo, OK}, turno=1
2026-04-25 19:09:51.121 INFO debilitado2 pokemon = {“Alakazam”, 1, a, OK}, pokemonRival={“Charizard”, 50, pablo, KO}, turno=1
2026-04-25 19:09:59.293 INFO debilitado2 pokemon = {“Alakazam”, 9, a, OK}, pokemonRival={“Lapras”, 50, pablo, KO}, turno=1
2026-04-25 19:10:07.502 INFO debilitado2 pokemon = {“Alakazam”, 12, a, OK}, pokemonRival={“Jolteon”, 50, pablo, KO}, turno=1
2026-04-25 19:10:15.645 INFO debilitado2 pokemon = {“Alakazam”, 15, a, OK}, pokemonRival={“Snorlax”, 50, pablo, KO}, turno=1
2026-04-25 19:10:35.103 INFO debilitado2 pokemon = {“Alakazam”, 17, a, OK}, pokemonRival={“Nidoking”, 50, pablo, KO}, turno=1
2026-04-25 19:10:43.489 INFO debilitado2 pokemon = {“Alakazam”, 19, a, OK}, pokemonRival={“Alakazam”, 50, pablo, KO}, turno=1
2026-04-25 19:10:48.645 INFO finGanaCombate pokemon = {“Alakazam”, 21, a, OK}, pokemonRival={“Alakazam”, 50, pablo, KO}, turno=2
2026-04-25 19:10:53.743 INFO debilitado2 pokemon = {“Alakazam”, 21, a, OK}, pokemonRival={“Exeggutor”, 50, luis, KO}, turno=1
2026-04-25 19:11:03.315 INFO debilitado2 pokemon = {“Alakazam”, 23, a, OK}, pokemonRival={“Gengar”, 50, luis, KO}, turno=1
2026-04-25 19:11:11.297 INFO debilitado2 pokemon = {“Alakazam”, 25, a, OK}, pokemonRival={“Rhydon”, 50, luis, KO}, turno=1
2026-04-25 19:11:19.459 INFO debilitado2 pokemon = {“Alakazam”, 26, a, OK}, pokemonRival={“Arcanine”, 50, luis, KO}, turno=1
2026-04-25 19:11:27.714 INFO debilitado2 pokemon = {“Alakazam”, 27, a, OK}, pokemonRival={“Articuno”, 50, luis, KO}, turno=1
2026-04-25 19:11:35.989 INFO debilitado2 pokemon = {“Alakazam”, 29, a, OK}, pokemonRival={“Dragonite”, 50, luis, KO}, turno=1
2026-04-25 19:11:41.118 INFO finGanaCombate pokemon = {“Alakazam”, 30, a, OK}, pokemonRival={“Dragonite”, 50, luis, KO}, turno=2
2026-04-25 19:11:52.323 INFO debilitado2 pokemon = {“Alakazam”, 30, a, OK}, pokemonRival={“Machamp”, 50, julia, KO}, turno=1
2026-04-25 19:12:00.787 INFO debilitado2 pokemon = {“Alakazam”, 31, a, OK}, pokemonRival={“Gyarados”, 50, julia, KO}, turno=1
2026-04-25 19:12:09.428 INFO debilitado2 pokemon = {“Alakazam”, 32, a, OK}, pokemonRival={“Golem”, 50, julia, KO}, turno=1
2026-04-25 19:12:18.262 INFO debilitado2 pokemon = {“Alakazam”, 34, a, OK}, pokemonRival={“Magmar”, 50, julia, KO}, turno=1
2026-04-25 19:12:26.436 INFO debilitado2 pokemon = {“Alakazam”, 35, a, OK}, pokemonRival={“Victreebel”, 50, julia, KO}, turno=1
2026-04-25 19:12:34.581 INFO debilitado2 pokemon = {“Alakazam”, 36, a, OK}, pokemonRival={“Aerodactyl”, 50, julia, KO}, turno=1
2026-04-25 19:12:39.756 INFO finGanaCombate pokemon = {“Alakazam”, 37, a, OK}, pokemonRival={“Aerodactyl”, 50, julia, KO}, turno=2
2026-04-25 19:12:45.942 INFO debilitado2 pokemon = {“Alakazam”, 37, a, OK}, pokemonRival={“Gengar”, 50, jesus, KO}, turno=1
2026-04-25 19:12:54.631 INFO debilitado2 pokemon = {“Alakazam”, 38, a, OK}, pokemonRival={“Mr Mime”, 50, jesus, KO}, turno=1
2026-04-25 19:13:03.351 INFO debilitado2 pokemon = {“Alakazam”, 39, a, OK}, pokemonRival={“Slowbro”, 50, jesus, KO}, turno=1
2026-04-25 19:13:13.016 INFO debilitado2 pokemon = {“Alakazam”, 40, a, OK}, pokemonRival={“Nidoqueen”, 50, jesus, KO}, turno=1
2026-04-25 19:13:21.096 INFO debilitado2 pokemon = {“Alakazam”, 41, a, OK}, pokemonRival={“Dragonite”, 50, jesus, KO}, turno=1
2026-04-25 19:13:29.771 INFO debilitado2 pokemon = {“Alakazam”, 42, a, OK}, pokemonRival={“Alakazam”, 50, jesus, KO}, turno=1
2026-04-25 19:13:34.898 INFO finGanaCombate pokemon = {“Alakazam”, 42, a, OK}, pokemonRival={“Alakazam”, 50, jesus, KO}, turno=2
